City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
556,Hamilton,US,64.99,mist,39.18,-84.53,Six Acres Bed & Breakfast
557,Fontenay-Le-Comte,FR,59.0,fog,46.58,-1.0,Le relais de la cure
560,Pachalum,GT,71.6,haze,14.92,-90.66,Hotel y Restaurante Kimberly
565,Moron,AR,61.0,moderate rain,-34.65,-58.62,Hotel Morón
566,Mindelo,CV,78.8,scattered clouds,16.89,-24.98,Hotel Gaudi
567,Presidencia Roque Saenz Pena,AR,79.66,clear sky,-26.79,-60.44,Hotel Aconcagua
569,Poum,NC,77.22,clear sky,-20.23,164.02,Gîte kajeon
572,Houma,US,75.2,clear sky,29.6,-90.72,Courtyard by Marriott Houma
573,Gotsu,JP,62.6,light intensity shower rain,35.0,132.22,Super Hotel Gotsu Ekimae
581,Lewistown,US,66.2,scattered clouds,40.6,-77.57,Quality Inn & Suites
583,Montlucon,FR,57.0,light rain,46.33,2.6,Hotel De La Gare
590,Monte Azul,BR,75.51,broken clouds,-15.15,-42.87,Hotel Delfino
591,Tourlaville,FR,57.0,clear sky,49.64,-1.57,Hôtel Restaurant La Régence
594,Fort Morgan,US,55.4,clear sky,40.25,-103.8,Hampton Inn Fort Morgan
595,Salinas,US,66.0,clear sky,36.68,-121.66,Good Nite Inn Salinas Monterey
596,Lufkin,US,78.8,clear sky,31.34,-94.73,Courtyard by Marriott Lufkin
597,Filadelfia,US,71.01,broken clouds,39.95,-75.16,Loews Philadelphia Hotel
598,Tabas,IR,54.63,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
599,Porto San Giorgio,IT,54.0,scattered clouds,43.18,13.79,David Palace Hotel
602,Challapalle,IN,78.8,moderate rain,16.12,80.93,Old Age Home
603,Puerto Ayacucho,VE,79.25,scattered clouds,5.66,-67.62,Posada Turistica Manapiare
605,Chinsali,ZM,66.78,clear sky,-10.54,32.08,Mwiluzi Motel Chinsali Ltd
606,Hualmay,PE,62.8,few clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
608,Newport,GB,54.0,overcast clouds,51.59,-3.0,ibis budget Newport
609,Cubuk,TR,52.0,clear sky,40.24,33.03,Çubuk Öğretmenevi
610,Los Llanos De Aridane,ES,68.0,clear sky,28.66,-17.92,Valle Aridane
612,Shingu,JP,69.8,broken clouds,33.73,135.98,Shingu UI Hotel
614,Yarim,YE,51.75,clear sky,14.3,44.38,بقاله ابو محظار
615,Kalmunai,LK,79.27,clear sky,7.42,81.82,VS Villa
617,Mandalay,MM,77.0,broken clouds,21.97,96.08,Hotel Yadanarbon
620,Sangmelima,CM,67.37,overcast clouds,2.93,11.98,gamestar hotel
624,Nong Kung Si,TH,71.6,broken clouds,16.65,103.3,บ้าน พี่บิ๊ก
625,Camana,PE,62.38,scattered clouds,-16.62,-72.71,Hostal Morales
